카드명,카드사,연회비_국내,연회비_해외,전월실적_기준,주요혜택
카드의정석 POINT CHECK x 아기상어,우리카드,0,0,300000,모아포인트: 1.5~0.3%적립 | 간편결제: 1.5%추가적립 | 롯데월드 아쿠아리움/놀이공원: 50%현장할인
카드의정석 POINT CHECK x 핑크퐁,우리카드,0,0,300000,모아포인트: 1.5~0.3%적립 | 간편결제: 1.5%추가적립 | 롯데월드 아쿠아리움/놀이공원: 50%현장할인
카드의정석 PREMIUM MILEAGE(AsianaClub),우리카드,135000,135000,500000,"1,000원당: 1.5~3마일적립 | 국내외공항라운지: The Lounge Members무료이용 | 연1회: 프리미엄기프트제공"
카드의정석 PREMIUM POINT,우리카드,110000,110000,0,전월실적조건없이: 0.8~2%적립 | 국내외공항라운지: The Lounge Members무료이용 | 연1회: 프리미엄기프트제공
카드의정석 SHOPPING,우리카드,10000,12000,300000,온·오프라인쇼핑: 10%할인 | 간편결제: 5%추가할인 | 주말주유: 60원/L할인
카드의정석 UniMile,우리카드,20000,20000,300000,저가항공: 3%적립 | 온라인여행사: 2%적립 | 국내외 공항라운지: 무료이용서비스
카드의정석 UniMile CHECK,우리카드,0,0,300000,UniMile: 0.2~1.5%적립 | 국내외: 공항라운지무료이용 | 해외 유명 박물관/미술관: 50%할인
카드의정석 UniMile in JEJU,우리카드,15000,15000,300000,여행: 제주특화서비스 | UniMile 최대: 3%적립 | 공항라운지: 무료이용
카드의정석 UNTACT,우리카드,12000,12000,400000,"정기결제 최대: 20%할인 | 쿠팡로켓와우: 2,900원할인 | 게임정기결제: 10%할인"
카드의정석 UNTACT AIR,우리카드,15000,15000,500000,정기결제 최대: 20%할인 | 배달앱: 30%적립 | 쿠팡: 20%적립
카드의정석 WOWRI,우리카드,10000,12000,300000,모아포인트: 5%~0.8%적립 | 주요간편결제: 3%추가적립
카드의정석 댕댕냥이(강아지),우리카드,10000,12000,300000,온라인쇼핑: 10%할인 | 공항라운지: 무료이용 | 동물병원: 10%할인
